category,controller_name,path,actions,rescued_exceptions,rescue_froms
"no_handling","EVSS::Authorizeable","app/controllers/concerns/evss/authorizeable.rb","authorize_evss","",""
"no_handling","Filterable","app/controllers/concerns/filterable.rb","normalize_filter_params | validate_filter_params","",""
"no_handling","Headers","app/controllers/concerns/headers.rb","set_app_info_headers","",""
"no_handling","IgnoreNotFound","app/controllers/concerns/ignore_not_found.rb","skip_sentry_exception_types","",""
"no_handling","Vet360::Transactionable","app/controllers/concerns/vet360/transactionable.rb","check_transaction_status","",""
"no_handling","Vet360::Writeable","app/controllers/concerns/vet360/writeable.rb","write_to_vet360_and_render_transaction | invalidate_cache","",""
"no_handling","FlipperController","app/controllers/flipper_controller.rb","login | logout","",""
"no_handling","SignIn::OpenidConnectCertificatesController","app/controllers/sign_in/openid_connect_certificates_controller.rb","index","",""
"no_handling","SignIn::UserInfoController","app/controllers/sign_in/user_info_controller.rb","show","",""
"no_handling","Sts::TermsOfUseController","app/controllers/sts/terms_of_use_controller.rb","current_status","",""
"no_handling","V0::AdminController","app/controllers/v0/admin_controller.rb","status | header_status","",""
"no_handling","V0::ApidocsController","app/controllers/v0/apidocs_controller.rb","index","",""
"no_handling","V0::AppealsController","app/controllers/v0/appeals_controller.rb","index","",""
"no_handling","V0::AppsController","app/controllers/v0/apps_controller.rb","index | show | scopes","",""
"no_handling","V0::AverageDaysForClaimCompletionController","app/controllers/v0/average_days_for_claim_completion_controller.rb","index","",""
"no_handling","V0::BackendStatusesController","app/controllers/v0/backend_statuses_controller.rb","index","",""
"no_handling","V0::BannersController","app/controllers/v0/banners_controller.rb","by_path","",""
"no_handling","V0::BenefitsDocumentsController","app/controllers/v0/benefits_documents_controller.rb","create","",""
"no_handling","V0::BenefitsReferenceDataController","app/controllers/v0/benefits_reference_data_controller.rb","get_data","",""
"no_handling","V0::ContactUs::InquiriesController","app/controllers/v0/contact_us/inquiries_controller.rb","index | create","",""
"no_handling","V0::CsrfTokenController","app/controllers/v0/csrf_token_controller.rb","index","",""
"no_handling","V0::DatadogActionController","app/controllers/v0/datadog_action_controller.rb","create","",""
"no_handling","V0::DebtLettersController","app/controllers/v0/debt_letters_controller.rb","index | show","",""
"no_handling","V0::DependentsVerificationsController","app/controllers/v0/dependents_verifications_controller.rb","index | create","",""
"no_handling","V0::DocumentsController","app/controllers/v0/documents_controller.rb","create","",""
"no_handling","V0::EducationCareerCounselingClaimsController","app/controllers/v0/education_career_counseling_claims_controller.rb","create","",""
"no_handling","V0::EfolderController","app/controllers/v0/efolder_controller.rb","index | show","",""
"no_handling","V0::EnrollmentPeriodsController","app/controllers/v0/enrollment_periods_controller.rb","index","",""
"no_handling","V0::EventBusGatewayController","app/controllers/v0/event_bus_gateway_controller.rb","send_email | send_push | send_notifications","",""
"no_handling","V0::EVSSBenefitsClaimsController","app/controllers/v0/evss_benefits_claims_controller.rb","index | show","",""
"no_handling","V0::EVSSClaimsController","app/controllers/v0/evss_claims_controller.rb","index | show | request_decision","",""
"no_handling","V0::ExampleController","app/controllers/v0/example_controller.rb","index | limited | welcome | healthcheck | startup_healthcheck","",""
"no_handling","V0::FeatureTogglesController","app/controllers/v0/feature_toggles_controller.rb","index","",""
"no_handling","V0::Form1010EzrAttachmentsController","app/controllers/v0/form1010_ezr_attachments_controller.rb","create","",""
"no_handling","V0::Form1010EzrsController","app/controllers/v0/form1010_ezrs_controller.rb","create | download_pdf","",""
"no_handling","V0::FormsController","app/controllers/v0/forms_controller.rb","index","",""
"no_handling","V0::GIBillFeedbacksController","app/controllers/v0/gi_bill_feedbacks_controller.rb","show | create","",""
"no_handling","V0::GIDS::CalculatorConstantsController","app/controllers/v0/gids/calculator_constants_controller.rb","index","",""
"no_handling","V0::GIDS::InstitutionProgramsController","app/controllers/v0/gids/institution_programs_controller.rb","autocomplete | search","",""
"no_handling","V0::GIDS::InstitutionsController","app/controllers/v0/gids/institutions_controller.rb","autocomplete | search | show | children","",""
"no_handling","V0::GIDS::YellowRibbonProgramsController","app/controllers/v0/gids/yellow_ribbon_programs_controller.rb","index","",""
"no_handling","V0::GIDS::ZipcodeRatesController","app/controllers/v0/gids/zipcode_rates_controller.rb","show","",""
"no_handling","V0::IdCardAnnouncementSubscriptionController","app/controllers/v0/id_card_announcement_subscription_controller.rb","create","",""
"no_handling","V0::InProgressFormsController","app/controllers/v0/in_progress_forms_controller.rb","index | show | update | destroy","",""
"no_handling","V0::LettersDiscrepancyController","app/controllers/v0/letters_discrepancy_controller.rb","index","",""
"no_handling","V0::LettersGeneratorController","app/controllers/v0/letters_generator_controller.rb","index | download | beneficiary","",""
"no_handling","V0::MaintenanceWindowsController","app/controllers/v0/maintenance_windows_controller.rb","index","",""
"no_handling","V0::MDOT::SuppliesController","app/controllers/v0/mdot/supplies_controller.rb","create","",""
"no_handling","V0::MPIUsersController","app/controllers/v0/mpi_users_controller.rb","submit","",""
"no_handling","V0::MyVA::SubmissionPdfUrlsController","app/controllers/v0/my_va/submission_pdf_urls_controller.rb","create","",""
"no_handling","V0::MyVA::SubmissionStatusesController","app/controllers/v0/my_va/submission_statuses_controller.rb","show","",""
"no_handling","V0::Preneeds::BurialFormsController","app/controllers/v0/preneeds/burial_forms_controller.rb","create | send_confirmation_email","",""
"no_handling","V0::Preneeds::CemeteriesController","app/controllers/v0/preneeds/cemeteries_controller.rb","index","",""
"no_handling","V0::Profile::AddressValidationController","app/controllers/v0/profile/address_validation_controller.rb","create","",""
"no_handling","V0::Profile::AddressesController","app/controllers/v0/profile/addresses_controller.rb","create | create_or_update | update | destroy","",""
"no_handling","V0::Profile::CommunicationPreferencesController","app/controllers/v0/profile/communication_preferences_controller.rb","index | create | update","",""
"no_handling","V0::Profile::DirectDepositsController","app/controllers/v0/profile/direct_deposits_controller.rb","show | update","",""
"no_handling","V0::Profile::EmailAddressesController","app/controllers/v0/profile/email_addresses_controller.rb","create | create_or_update | update | destroy","",""
"no_handling","V0::Profile::FullNamesController","app/controllers/v0/profile/full_names_controller.rb","show","",""
"no_handling","V0::Profile::GenderIdentitiesController","app/controllers/v0/profile/gender_identities_controller.rb","update","",""
"no_handling","V0::Profile::MilitaryOccupationsController","app/controllers/v0/profile/military_occupations_controller.rb","show","",""
"no_handling","V0::Profile::PermissionsController","app/controllers/v0/profile/permissions_controller.rb","create | create_or_update | update | destroy","",""
"no_handling","V0::Profile::PersonalInformationsController","app/controllers/v0/profile/personal_informations_controller.rb","show","",""
"no_handling","V0::Profile::PersonsController","app/controllers/v0/profile/persons_controller.rb","initialize_vet360_id | status","",""
"no_handling","V0::Profile::PreferredNamesController","app/controllers/v0/profile/preferred_names_controller.rb","update","",""
"no_handling","V0::Profile::SchedulingPreferencesController","app/controllers/v0/profile/scheduling_preferences_controller.rb","show | create | update | destroy","",""
"no_handling","V0::Profile::TelephonesController","app/controllers/v0/profile/telephones_controller.rb","create | create_or_update | update | destroy","",""
"no_handling","V0::Profile::TransactionsController","app/controllers/v0/profile/transactions_controller.rb","status | statuses","",""
"no_handling","V0::Profile::ValidVAFileNumbersController","app/controllers/v0/profile/valid_va_file_numbers_controller.rb","show","",""
"no_handling","V0::Profile::VetVerificationStatusesController","app/controllers/v0/profile/vet_verification_statuses_controller.rb","show","",""
"no_handling","V0::RatedDisabilitiesController","app/controllers/v0/rated_disabilities_controller.rb","show","",""
"no_handling","V0::SearchClickTrackingController","app/controllers/v0/search_click_tracking_controller.rb","create","",""
"no_handling","V0::SearchController","app/controllers/v0/search_controller.rb","index","",""
"no_handling","V0::UserActionsController","app/controllers/v0/user_actions_controller.rb","index","",""
"no_handling","V0::UsersController","app/controllers/v0/users_controller.rb","show | icn | credential_emails","",""
"no_handling","V0::VeteranOnboardingsController","app/controllers/v0/veteran_onboardings_controller.rb","show | update","",""
"no_handling","V0::VeteranReadinessEmploymentClaimsController","app/controllers/v0/veteran_readiness_employment_claims_controller.rb","create","",""
"no_handling","V1::ApidocsController","app/controllers/v1/apidocs_controller.rb","index","",""
"no_handling","V1::GIDS::CalculatorConstantsController","app/controllers/v1/gids/calculator_constants_controller.rb","index","",""
"no_handling","V1::GIDS::InstitutionProgramsController","app/controllers/v1/gids/institution_programs_controller.rb","autocomplete | search","",""
"no_handling","V1::GIDS::InstitutionsController","app/controllers/v1/gids/institutions_controller.rb","autocomplete | search | show | children","",""
"no_handling","V1::GIDS::LCPE::ExamsController","app/controllers/v1/gids/lcpe/exams_controller.rb","index | show","",""
"no_handling","V1::GIDS::LCPE::LacsController","app/controllers/v1/gids/lcpe/lacs_controller.rb","index | show","",""
"no_handling","V1::GIDS::VersionPublicExportsController","app/controllers/v1/gids/version_public_exports_controller.rb","show","",""
"no_handling","V1::GIDS::YellowRibbonProgramsController","app/controllers/v1/gids/yellow_ribbon_programs_controller.rb","index","",""
"no_handling","V1::GIDS::ZipcodeRatesController","app/controllers/v1/gids/zipcode_rates_controller.rb","show","",""
"no_handling","V1::Profile::MilitaryInfosController","app/controllers/v1/profile/military_infos_controller.rb","show","",""
"no_handling","AccreditedRepresentativePortal::V0::ClaimSubmissionsController","modules/accredited_representative_portal/app/controllers/accredited_representative_portal/v0/claim_submissions_controller.rb","index","",""
"no_handling","AccreditedRepresentativePortal::V0::InProgressFormsController","modules/accredited_representative_portal/app/controllers/accredited_representative_portal/v0/in_progress_forms_controller.rb","show | update | destroy","",""
"no_handling","AccreditedRepresentativePortal::V0::RepresentativeUsersController","modules/accredited_representative_portal/app/controllers/accredited_representative_portal/v0/representative_users_controller.rb","show | authorize_as_representative","",""
"no_handling","AccreditedRepresentativePortal::V0::Form21aUploadConcern","modules/accredited_representative_portal/app/controllers/concerns/accredited_representative_portal/v0/form21a_upload_concern.rb","documents_key_for","",""
"no_handling","AppealsApi::AppealableIssues::V0::AppealableIssuesController","modules/appeals_api/app/controllers/appeals_api/appealable_issues/v0/appealable_issues_controller.rb","index | schema","",""
"no_handling","AppealsApi::Docs::V0::ApiController","modules/appeals_api/app/controllers/appeals_api/docs/v0/api_controller.rb","index","",""
"no_handling","AppealsApi::Docs::V1::DocsController","modules/appeals_api/app/controllers/appeals_api/docs/v1/docs_controller.rb","decision_reviews | appeals_status","",""
"no_handling","AppealsApi::Docs::V2::DocsController","modules/appeals_api/app/controllers/appeals_api/docs/v2/docs_controller.rb","decision_reviews | hlr | nod | sc | ai | la","",""
"no_handling","AppealsApi::LegacyAppeals::V0::LegacyAppealsController","modules/appeals_api/app/controllers/appeals_api/legacy_appeals/v0/legacy_appeals_controller.rb","index | schema","",""
"no_handling","AppealsApi::Schemas::SharedSchemasController","modules/appeals_api/app/controllers/appeals_api/schemas/shared_schemas_controller.rb","show","",""
"no_handling","AppealsApi::V0::AppealsController","modules/appeals_api/app/controllers/appeals_api/v0/appeals_controller.rb","index","",""
"no_handling","AppealsApi::V1::AppealsController","modules/appeals_api/app/controllers/appeals_api/v1/appeals_controller.rb","index","",""
"no_handling","AppealsApi::V1::DecisionReviews::NoticeOfDisagreements::EvidenceSubmissionsController::EvidenceSubmissionRequestValidatorError","modules/appeals_api/app/controllers/appeals_api/v1/decision_reviews/notice_of_disagreements/evidence_submissions_controller.rb","show | create","",""
"no_handling","AppealsApi::V2::DecisionReviews::NoticeOfDisagreements::EvidenceSubmissionsController::EvidenceSubmissionRequestValidatorError","modules/appeals_api/app/controllers/appeals_api/v2/decision_reviews/notice_of_disagreements/evidence_submissions_controller.rb","show | create","",""
"no_handling","AppealsApi::V2::DecisionReviews::SupplementalClaims::EvidenceSubmissionsController::EvidenceSubmissionRequestValidatorError","modules/appeals_api/app/controllers/appeals_api/v2/decision_reviews/supplemental_claims/evidence_submissions_controller.rb","show | create","",""
"no_handling","AppealsApi::GatewayOriginCheck","modules/appeals_api/app/controllers/concerns/appeals_api/gateway_origin_check.rb","require_gateway_origin","",""
