controller_name,path,ivar,line_number,line,has_class_authz,inline_guarded,bare_user_attr,problem
"V0::Chatbot::ClaimStatusController::ServiceException","app/controllers/v0/chatbot/claim_status_controller.rb","@mpi_profile","154","        @mpi_profile ||= fetch_mpi_profile","true","false","false","user-scoped ivar set without inline guard"
"V0::Chatbot::UsersController","app/controllers/v0/chatbot/users_controller.rb","@mpi_profile","25","        @mpi_profile ||= MPI::Service.new.find_profile_by_identifier(identifier_type: MPI::Constants::ICN,","true","false","false","user-scoped ivar set without inline guard"
"V0::InProgressFormsController","app/controllers/v0/in_progress_forms_controller.rb","@form_for_user","76","      @form_for_user ||= InProgressForm.submission_pending.form_for_user(form_id, @current_user)","false","false","false","no class-level authorization before_action, user-scoped ivar set without inline guard"
"V0::TermsOfUseAgreementsController","app/controllers/v0/terms_of_use_agreements_controller.rb","@user_account","103","      @user_account = UserAccount.find(terms_code_container.user_account_uuid)","true","false","false","user-scoped ivar set without inline guard"
"V0::TermsOfUseAgreementsController","app/controllers/v0/terms_of_use_agreements_controller.rb","@user_account","112","      @user_account = current_user.user_account","true","false","false","user-scoped ivar set without inline guard"
"V0::TermsOfUseAgreementsController","app/controllers/v0/terms_of_use_agreements_controller.rb","@mpi_profile","126","      @mpi_profile ||= MPI::Service.new.find_profile_by_identifier(identifier: @user_account.icn,","true","false","false","user-scoped ivar set without inline guard"
"V0::UserActionsController","app/controllers/v0/user_actions_controller.rb","@user_actions","15","      @user_actions = q.result.page(page.to_i).per_page(per_page.to_i)","false","false","false","no class-level authorization before_action, user-scoped ivar set without inline guard"
"V0::VeteranOnboardingsController","app/controllers/v0/veteran_onboardings_controller.rb","@veteran_onboarding","23","      @veteran_onboarding = current_user.onboarding","false","false","false","no class-level authorization before_action, user-scoped ivar set without inline guard"
"AccreditedRepresentativePortal::V0::IntentToFileController","modules/accredited_representative_portal/app/controllers/accredited_representative_portal/v0/intent_to_file_controller.rb","@veteran_icn","139","        @veteran_icn ||= ClaimantLookupService.get_icn(","false","false","false","no class-level authorization before_action, user-scoped ivar set without inline guard"
"AccreditedRepresentativePortal::V0::IntentToFileController","modules/accredited_representative_portal/app/controllers/accredited_representative_portal/v0/intent_to_file_controller.rb","@claimant_icn","150","        @claimant_icn ||= ClaimantLookupService.get_icn(","false","false","false","no class-level authorization before_action, user-scoped ivar set without inline guard"
"AccreditedRepresentativePortal::V0::IntentToFileController","modules/accredited_representative_portal/app/controllers/accredited_representative_portal/v0/intent_to_file_controller.rb","@claimant_representative","170","        @claimant_representative ||= ClaimantRepresentative.find(","false","false","false","no class-level authorization before_action, user-scoped ivar set without inline guard"
"AppealsApi::HigherLevelReviews::PdfFormFieldV2Validator","modules/appeals_api/app/controllers/concerns/appeals_api/higher_level_reviews/pdf_form_field_v2_validator.rb","@veteran_phone","24","        @veteran_phone ||= AppealsApi::HigherLevelReview::Phone.new(phone_data)","false","false","false","no class-level authorization before_action, user-scoped ivar set without inline guard"
"ClaimsApi::V2::VeteranIdentifierController","modules/claims_api/app/controllers/claims_api/v2/veteran_identifier_controller.rb","@target_veteran","21","        @target_veteran ||= ClaimsApi::Veteran.new(","false","false","false","no class-level authorization before_action, user-scoped ivar set without inline guard"
"ClaimsApi::V2::Veterans::PowerOfAttorney::RequestController","modules/claims_api/app/controllers/claims_api/v2/veterans/power_of_attorney/request_controller.rb","@claimant_icn","202","          @claimant_icn = claimant.icn.presence || claimant.mpi.icn if claimant","false","false","false","no class-level authorization before_action, user-scoped ivar set without inline guard"
"ClaimsApi::TargetVeteran","modules/claims_api/app/controllers/concerns/claims_api/target_veteran.rb","@target_veteran","11","        @target_veteran ||= if @is_valid_ccg_flow","false","false","false","no class-level authorization before_action, user-scoped ivar set without inline guard"
"ClaimsApi::TokenValidation","modules/claims_api/app/controllers/concerns/claims_api/token_validation.rb","@current_user","21","        @current_user = user_from_validated_token(@validated_token_data)","false","false","false","no class-level authorization before_action, user-scoped ivar set without inline guard"
"Mobile::V0::AuthorizedServicesController","modules/mobile/app/controllers/mobile/v0/authorized_services_controller.rb","@user_accessible_services","17","        @user_accessible_services ||= Mobile::V0::UserAccessibleServices.new(current_user, request)","false","false","false","no class-level authorization before_action, user-scoped ivar set without inline guard"
"Mobile::V0::FeatureTogglesController","modules/mobile/app/controllers/mobile/v0/feature_toggles_controller.rb","@current_user","34","        @current_user = nil","true","false","false","user-scoped ivar set without inline guard"
"Mobile::V0::UsersController","modules/mobile/app/controllers/mobile/v0/users_controller.rb","@user_accessible_services","43","        @user_accessible_services ||= Mobile::V0::UserAccessibleServices.new(current_user, request)","true","false","false","user-scoped ivar set without inline guard"
"Mobile::V1::UsersController","modules/mobile/app/controllers/mobile/v1/users_controller.rb","@user_accessible_services","23","        @user_accessible_services ||= Mobile::V0::UserAccessibleServices.new(current_user, request)","false","false","false","no class-level authorization before_action, user-scoped ivar set without inline guard"
"MockedAuthentication::CredentialController","modules/mocked_authentication/app/controllers/mocked_authentication/credential_controller.rb","@mock_profiles","37","      @mock_profiles = Mockdata::Reader.find_credentials(credential_type: type)","false","false","false","no class-level authorization before_action, user-scoped ivar set without inline guard"
"MyHealth::V1::TooltipsController","modules/my_health/app/controllers/my_health/v1/tooltips_controller.rb","@user_account","77","        @user_account = current_user.user_account","false","false","false","no class-level authorization before_action, user-scoped ivar set without inline guard"
"Vass::JwtAuthentication","modules/vass/app/controllers/concerns/vass/jwt_authentication.rb","@current_veteran_id","46","      @current_veteran_id = payload['sub']","true","false","false","user-scoped ivar set without inline guard"
