ID,Region,VISN,AdminParent,StationNumber,MHClinicPhone,MHPhone,Extension,OfficialStationName,POC Email,Status,Modified,Created,AddedToOutbox
856,1,V06,565,565GF,9197314809,919-731-4809,3763,Goldsboro VA Clinic,william.castillo2@va.gov,UPDATE DUE,2019-09-18 14:03:02.000,2016-10-25 10:35:19.000,2019-09-20 13:00:21.273
857,1,V06,565,565GG,9197756166,919-775-6166,NULL,Lee County VA Clinic,william.castillo2@va.gov,UPDATE DUE,2019-09-18 14:03:02.000,2016-10-25 10:36:43.000,2019-09-20 13:00:21.273
858,1,V06,565,565GL,9104882120,910-488-2120,7909,Cumberland County VA Clinic,william.castillo2@va.gov,UPDATE DUE,2019-09-18 14:03:02.000,2016-10-25 10:38:05.000,2019-09-20 13:00:21.273
859,1,V06,652,652GF,4343481055,434-348-1055,NULL,Emporia VA Clinic,sonya.matthews@va.gov,UPDATE DUE,2019-09-15 02:06:44.000,2016-10-25 11:05:32.000,2019-09-20 13:00:21.273
860,1,V06,652,652GE,4342933090,434-293-3090,NULL,Charlottesville VA Clinic,sonya.matthews@va.gov,UPDATE DUE,2019-09-15 02:06:44.000,2016-10-25 11:07:04.000,2019-09-20 13:00:21.273
861,1,V05,517,517GB,3042552121,304-255-2121,4480,Greenbrier County VA Clinic,anna.verschoore@va.gov,PENDING POC,2018-07-27 19:24:57.000,2016-10-25 11:10:39.000,2019-09-20 13:00:21.273
862,1,V06,590,590,7577229961,757-722-9961,3584,Hampton VA Medical Center,william.jordan2@va.gov,UPDATED,2019-09-18 14:08:07.000,2016-10-25 11:27:44.000,2019-09-20 13:00:21.273
863,1,V06,590,590GB,7577229961,757-722-9961,3584,Virginia Beach VA Clinic,william.jordan2@va.gov,UPDATED,2019-09-18 14:08:08.000,2016-10-25 11:29:01.000,2019-09-20 13:00:21.273
864,1,V06,590,590GC,7577229961,757-722-9961,3584,Albemarle VA Clinic,william.jordan2@va.gov,UPDATED,2019-09-18 14:08:08.000,2016-10-25 11:30:21.000,2019-09-20 13:00:21.273
865,1,V06,590,590GD,7577229961,757-722-9961,3584,Chesapeake VA Clinic,william.jordan2@va.gov,UPDATED,2019-09-18 14:08:08.000,2016-10-25 11:31:35.000,2019-09-20 13:00:21.273
