Message Code,Sub Code,Message Key,Type,Status,State,Queue,Message Description
 CORE100      ,     _CUF_UNEXPECTED_ERROR                   , _CUF_UNEXPECTED_ERROR                                ,FATAL,400, REJECTED          , RECEIVED_ERROR_QUEUE , There was an error encountered processing the Request.
 CORE101      ,                        , _CUF_ACCESS_DENIED                                   , ERROR         ,403, REJECTED          , RECEIVED_ERROR_QUEUE , You do not have access to perform the requested operation.
 CORE102      ,                        , _CUF_DATA_INTEGRITY_VIOLATION                        , ERROR         ,400,COMPLETED_FAILURE        , RECEIVED_ERROR_QUEUE , The operation could not be fulfilled due to a data integrity violation.{0}
 CORE103      ,                        , _CUF_NOT_FOUND                                       , ERROR    , 400/200       , REJECTED        , RECEIVED_ERROR_QUEUE , the {0} for id/criteria {1} could not be found. please correct your request and try again!
 CORE104      ,                        , _CUF_NO_CHANGES_DETECTED                             , INFO          ,400, REJECTED          ,COMPLETED_NO_CHANGES_DETECTED," Your request was received and processed without error, however no differences were detected between current data and the data you sent. This message is informational only, please verify your request if you believe you sent actual changes that should be applied. "
 CORE105      ,                        , _CUF_REQUEST_MALFORMED                               , ERROR         ,400, REJECTED          , RECEIVED_ERROR_QUEUE , The request was malformed and could not be processed.
 CORE106      ,                        , _CUF_REQUEST_NULL                                    , ERROR         ,400, REJECTED          , RECEIVED_ERROR_QUEUE , The request cannot be null. Please correct your request and try again.
 CORE107      , versionHash            , _CUF_VERSION_HASH_MISMATCH                           , ERROR         ,400, REJECTED          , RECEIVED_ERROR_QUEUE , Version Hash mismatch for Type {0} with a ID of {1}. Was expecting a Version Hash of {2} but received {3}.
 CORE108      , versionHash            , _CUF_VERSION_HASH_MISSING                            , ERROR         ,400, REJECTED          , RECEIVED_ERROR_QUEUE , Version Hash is null for Type {0} with a ID of {1}.
 CORE109      ,                        , _CUF_INCORRECT_RESULTSET_SIZE                        , ERROR         ,400, RECEIVED_FAILURE  ,                      ,
 CORE110      ,                        , _CUF_SOURCE_DATE_VERSION_VIOLATION                   , ERROR         ,400, , RECEIVED_ERROR_QUEUE ," Source dates are invalid for Type {0} with a ID of {1}. Previous source date was {2} but received new source date of {3}. Source dates may not be null, and new must be greater than the previous. Please correct your request and try again! "
 CORE300      , bio                    , bio.NotNull                                          , ERROR         ,               ,                   ,                      ,
 CORE301      , id (of the bio)        , id.NotNull                                           , ERROR         ,               ,                   ,                      ,
 CORE302      , pullByExampleBio       , pullByExampleBio.NotNull                             , ERROR         ,               ,                   ,                      ,
 CORE303      , txAuditId              , txAuditId.NotNull                                    , ERROR         ,               ,                   ,                      ,
 CORE500      , sourceDate             , [NODE_PATH].sourceDate.NotNull                       , ERROR         ,               ,                   ,                      ,
 CORE501      , orginatingSourceSys    , [NODE_PATH].originatingSourceSystem.Size             , ERROR         ,400, REJECTED          , RECEIVED_ERROR_QUEUE , originatingSourceSys must be between 0 and 255 characters
 CORE502      , sourceSysUser          , [NODE_PATH].sourceSystemUser.Size                    , ERROR         ,400, REJECTED          , RECEIVED_ERROR_QUEUE , sourceSysUser must be between 0 and 255 characters
 CORE503      , SourceSys              , [NODE_PATH].SourceSystem.Size                        , ERROR         ,400, REJECTED          , RECEIVED_ERROR_QUEUE , SourceSys must be between 0 and 255 characters
,,,,,,,
PERS100,vet360Id,_PERSON_NOT_FOUND,ERROR,404,REJECTED,RECEIVED_ERROR_QUEUE,Person not found
PERS101,vet360Id,vet360Id.NotNull,ERROR,400,REJECTED,RECEIVED_ERROR_QUEUE,Vet360 ID may not be null
PERS104,effectiveStartDate,effectiveStartDate.NotNull,ERROR,400,REJECTED,RECEIVED_ERROR_QUEUE,Effective Start Date may not be null
PERS300,effectiveStartDate,telephones[#].CheckEffectiveStartDate,ERROR,400,REJECTED,RECEIVED_ERROR_QUEUE,EffectiveStartDate can not be more than 6 months after current date.
PERS301,effectiveEndDate,telephones[#].CheckEffectiveEndDate,ERROR,400,REJECTED,RECEIVED_ERROR_QUEUE,EffectiveEndDate must be after EffectiveStartDate.
PERS302,confirmationDate,telephones[#].CheckConfirmationDate,ERROR,400,REJECTED,RECEIVED_ERROR_QUEUE,Confirmation Date can not be in future
PERS303,effectiveEndDate,effectiveEndDate.Future,ERROR,400,REJECTED,RECEIVED_ERROR_QUEUE,Effective End Date must be in future
PERS304,confirmationDate,confirmationDate,ERROR,400,REJECTED,RECEIVED_ERROR_QUEUE,ConfirmationDate can not be greater than sourceDate
,,,,,,,
EMAIL101,emailAddressText,emailAddressText.NotNull,ERROR,400,REJECTED,,Email Address may not be null
EMAIL102,effectiveStartDate,effectiveStartDate.Pattern,ERROR,400,REJECTED,RECEIVED_ERROR_QUEUE,EffectiveStartDate is invalid
EMAIL103,effectiveEndDate,effectiveEndDate.Pattern,ERROR,400,REJECTED,RECEIVED_ERROR_QUEUE,EffectiveEndDate is invalid
EMAIL104,emailMessagePermInd,emailPermInd.Pattern,ERROR,400,REJECTED,RECEIVED_ERROR_QUEUE,Email Permission Indicator must be True or False
EMAIL105,emailStatusCode,emailStatusCode.Pattern,ERROR,400,REJECTED,RECEIVED_ERROR_QUEUE,"Email Status Code must match ""(no known problem)(returned undeliverable)(incorrect address)""                                                                                                                                                                                "
EMAIL106,confDate,confDate.Pattern,ERROR,400,REJECTED,RECEIVED_ERROR_QUEUE,Confirmation Date is invalid
EMAIL107,effectiveStartDate,effectiveStartDate.NotNull,ERROR,400,REJECTED,RECEIVED_ERROR_QUEUE,EffectiveStartDate may not be null
EMAIL108,sourceDate,sourceDate.Pattern,ERROR,400,REJECTED,RECEIVED_ERROR_QUEUE,SourceDate is invalid
EMAIL109,sourceDate,sourceDate.Invalid,ERROR,400,REJECTED,RECEIVED_ERROR_QUEUE,Source Date is missing time stamp
EMAIL110,emailId,emailId,ERROR,400,REJECTED,RECEIVED_ERROR_QUEUE,Email ID provided does not exist
EMAIL200,emailId,emailId.Null,ERROR,400,REJECTED,RECEIVED_ERROR_QUEUE,Email ID in email bio must be null for inserts/adds
EMAIL201,emailId,emailId.NotNull,ERROR,400,REJECTED,RECEIVED_ERROR_QUEUE,Email ID may not be null
EMAIL202,effectiveStartDate,CheckEffectiveStartDate,ERROR,400,REJECTED,RECEIVED_ERROR_QUEUE,EffectiveStartDate can not be more than 6 months after sourceDate
EMAIL203,effectiveEndDate,EffectiveEndDate,ERROR,400,REJECTED,RECEIVED_ERROR_QUEUE,EffectiveEndDate cannot be present when adding a email
EMAIL204,confDate,CheckConfirmationDate,ERROR,400,REJECTED,RECEIVED_ERROR_QUEUE,Confirmation Date can not be in future
EMAIL205,effectiveEndDate,CheckEffectiveEndDate,ERROR,400,REJECTED,RECEIVED_ERROR_QUEUE,EffectiveEndDate can not be in past and must be after EffectiveStartDate
EMAIL206,confDate,CheckConfirmationDate,ERROR,400,REJECTED,RECEIVED_ERROR_QUEUE,Confirmation Date can not be greater than sourceDate
EMAIL300,effectiveEndDate,Emailinactive,ERROR,400,REJECTED,RECEIVED_ERROR_QUEUE,Cannot modify an existing inactive record
EMAIL301,EmailAddressType,EmailAddressType,ERROR,400,REJECTED,RECEIVED_ERROR_QUEUE,Can not insert a record for an email address that already exists. Pull the email record and update it using the emailId provided.
EMAIL302,emailAddressText,emailAddressText.Size,ERROR,400,REJECTED,RECEIVED_ERROR_QUEUE,EmailAddressText must be between 0 and 255 characters
EMAIL303,emailAddressText,CheckEmailLocalPart,ERROR,400,REJECTED,RECEIVED_ERROR_QUEUE,AlphaNumeric LocalPart of email must be <=64 Char
EMAIL304,emailAddressText,CheckEmailDomain,ERROR,400,REJECTED,RECEIVED_ERROR_QUEUE,Alphabetic ToplevelDomainName must be <=63 Char
EMAIL305,emailAddressText,CheckEmailAddress,ERROR,400,REJECTED,RECEIVED_ERROR_QUEUE,"EmailAddressText cannot have 2 @ symbols, must have at least one period '.' after @ character, and cannot have  '.%' or '%.' or '%..%' or "" ( ) , : ; < > @ [ ] \ or space unless in a quoted string in local part. "
EMAIL306,emailAddressText,DuplicateEmailAddress,ERROR,400,REJECTED,RECEIVED_ERROR_QUEUE,Cannot accept a request with multiple emailAddress records.
EMAIL307,EmailInactive,EmailInactive,ERROR,400,REJECTED,RECEIVED_ERROR_QUEUE,Cannot modify an existing inactive record.
,,,,,,,
